Hodnota,Vyznam,Odkaz
343,sportovní infrastruktura,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_4_3_SportsInfrastructure
344,venkovní rekreační oblasti,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_4_4_OpenAirRecreationalAreas
345,ostatní rekreační služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_4_5_OtherRecreationalServices
350,ostatní služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_5_OtherServices
400,"dopravní sítě, logistika a inženýrské sítě",http://inspire.ec.europa.eu/codelist/HILUCSValue/4_TransportNetworksLogisticsAndUtilities
410,dopravní sítě,http://inspire.ec.europa.eu/codelist/HILUCSValue/4_1_TransportNetworks
411,silniční doprava,http://inspire.ec.europa.eu/codelist/HILUCSValue/4_1_1_RoadTransport
412,kolejová doprava,http://inspire.ec.europa.eu/codelist/HILUCSValue/4_1_2_RailwayTransport
413,letecká doprava,http://inspire.ec.europa.eu/codelist/HILUCSValue/4_1_3_AirTransport
414,vodní doprava,http://inspire.ec.europa.eu/codelist/HILUCSValue/4_1_4_WaterTransport
415,jiná dopravní síť,http://inspire.ec.europa.eu/codelist/HILUCSValue/4_1_5_OtherTransportNetwork
420,logistické a skladovací služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/4_2_LogisticalAndStorageServices
430,veřejné služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/4_3_Utilities
431,"služby v oblasti rozvodu elektřiny, plynu a tepelné energie",http://inspire.ec.europa.eu/codelist/HILUCSValue/4_3_1_ElectricityGasAndThermalPowerDistributionServices
432,infrastruktura vodovodů a kanalizací,http://inspire.ec.europa.eu/codelist/HILUCSValue/4_3_2_WaterAndSewageInfrastructure
433,nakládání s odpady,http://inspire.ec.europa.eu/codelist/HILUCSValue/4_3_3_WasteTreatment
434,další veřejné služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/4_3_4_OtherUtilities
500,bydlení,http://inspire.ec.europa.eu/codelist/HILUCSValue/5_ResidentialUse
510,čistě obytné území,http://inspire.ec.europa.eu/codelist/HILUCSValue/5_1_PermanentResidentialUse
520,smíšené obytné území,http://inspire.ec.europa.eu/codelist/HILUCSValue/5_2_ResidentialUseWithOtherCompatibleUses
530,ostatní obytné území,http://inspire.ec.europa.eu/codelist/HILUCSValue/5_3_OtherResidentialUse
600,jiné využití,http://inspire.ec.europa.eu/codelist/HILUCSValue/6_OtherUses
610,staveniště,http://inspire.ec.europa.eu/codelist/HILUCSValue/6_1_TransitionalAreas
620,opuštěné plochy,http://inspire.ec.europa.eu/codelist/HILUCSValue/6_2_AbandonedAreas
630,"přírodní plochy, které nejsou jinak hospodářsky využívány",http://inspire.ec.europa.eu/codelist/HILUCSValue/6_3_NaturalAreasNotInOtherEconomicUse
631,"plochy, které nejsou jinak hospodářsky využívány",http://inspire.ec.europa.eu/codelist/HILUCSValue/6_3_1_LandAreasNotInOtherEconomicUse
632,"vodní plochy, které nejsou jinak hospodářsky využívány",http://inspire.ec.europa.eu/codelist/HILUCSValue/6_3_2_WaterAreasNotInOtherEconomicUse
640,"plochy, kde je povoleno jakékoli využití",http://inspire.ec.europa.eu/codelist/HILUCSValue/6_4_AreasWhereAnyUseAllowed
650,"plochy, jejichž plánované využití není specifikováno",http://inspire.ec.europa.eu/codelist/HILUCSValue/6_5_AreasWithoutAnySpecifiedPlannedUse
660,neznámé využití,http://inspire.ec.europa.eu/codelist/HILUCSValue/6_6_NotKnownUse
